
country,cum_confirmed,cum_deaths
Ghana,172062,1462.0
Czechia,4761919,43509.0
Qatar,514524,690.0
South Africa,4072765,102595.0
South Korea,34571873,35934.0
Senegal,89485,1971.0
Iceland,210374,186.0
Indonesia,6829399,162059.0
Togo,39530,290.0
Fiji,69047,885.0
Kosovo,274279,3212.0
Algeria,272139,6881.0
Australia,11861161,25236.0
Northern Cyprus,"",""
Liechtenstein,21588,89.0
United Arab Emirates,1067030,2349.0
South Sudan,18823,147.0
Cameroon,125246,1974.0
Israel,4841558,12707.0
Brunei,347723,179.0
Burkina Faso,22139,400.0
Sao Tome and Principe,6771,80.0
Myanmar,642885,19494.0
Guadeloupe,203235,1021.0
Suriname,82501,1406.0
Isle of Man,38008,116.0
Ecuador,1077445,36050.0
Niue,1074,0.0
Nicaragua,16185,245.0
Papua New Guinea,46864,670.0
Equatorial Guinea,17229,183.0
French Guiana,98041,413.0
Congo,25227,389.0
Saint Barthelemy,5507,5.0

country,cum_confirmed,cum_deaths
Cabo Verde,63244,""
Cambodia,139319,3056.0
United States Virgin Islands,25389,132.0
Croatia,1317144,18752.0
Cyprus,696410,1451.0
Seychelles,51886,172.0
Chad,7702,194.0
Thailand,4799180,34715.0
Afghanistan,235214,7998.0
Sweden,2755181,27399.0
Romania,3541619,68825.0
Armenia,452273,8777.0
Lesotho,36138,709.0
Marshall Islands,16297,17.0
Luxembourg,393542,1000.0
Tuvalu,2943,1.0
Palestine,703228,5708.0
Guinea-Bissau,9614,177.0
Somalia,27334,1361.0
Guernsey,35326,67.0
Turkey,17042722,101419.0
Gibraltar,20550,113.0
Congo (Kinshasa),95749,""
Bonaire Sint Eustatius and Saba,11922,41.0
Saint Lucia,30282,410.0
Saint Vincent and the Grenadines,9674,124.0
Laos,219060,671.0
Tokelau,80,0.0
Bermuda,18860,165.0
Falkland Islands,1923,0.0

country,cum_confirmed,cum_deaths
Denmark,3435679,9693.0
Paraguay,808401,19880.0
Peru,4526977,220975.0
Burundi,54569,15.0
Mauritius,328167,1073.0
Mayotte,42027,187.0
Slovakia,2667551,21227.0
Slovenia,1356582,10083.0
Maldives,186694,316.0
Bahrain,710693,1536.0
