
country,cum_confirmed,cum_deaths
High-income countries,429044049,2997359.0
Upper-middle-income countries,251753518,2824452.0
United States,103910034,1193165.0
US,103802702,""
China,99373219,122304.0
Lower-middle-income countries,91954400,1188026.0
India,45041748,533623.0
France,38997490,168091.0
Germany,38437756,174979.0
Brazil,37511921,702116.0
South Korea,34571873,35934.0
Japan,33803572,74694.0
"Korea, South",30615522,""
Italy,26781078,197307.0
United Kingdom,24974629,232112.0
Russia,24268728,403188.0
Turkey,17042722,101419.0
Spain,13980340,121852.0
Australia,11861161,25236.0
Vietnam,11624000,43206.0

